,Periodo,Tienda,Nombre_Producto,Temporada,Cantidad
179,2019-01-01,31,PUNTO MANGA LARGA MUJER,OI,237.0
180,2019-01-01,31,PUNTO MANGA LARGA MUJER,PV,5.0
189,2019-01-01,35,CAMISA HOMBRE,OI,155.0
199,2019-01-01,35,PANTALON HOMBRE,OI,138.0
200,2019-01-01,35,PANTALON HOMBRE,PV,4.0
218,2019-01-01,41,BOLSO BANDOLERA MUJER,OI,4.0
225,2019-01-01,41,CAMISA MANGA LARGA MUJER,OI,57.0
226,2019-01-01,41,CAMISA MANGA LARGA MUJER,PV,1.0
227,2019-01-01,41,CAMISETA MUJER,OI,59.0
239,2019-01-01,41,PANTALON MUJER,OI,72.0
244,2019-01-01,41,PUNTO MANGA LARGA MUJER,OI,110.0
255,2019-01-01,45,CAMISA HOMBRE,OI,35.0
262,2019-01-01,45,PANTALON HOMBRE,OI,42.0
276,2019-01-01,51,BOLSO BANDOLERA MUJER,OI,4.0
282,2019-01-01,51,CAMISA MANGA LARGA MUJER,OI,86.0
283,2019-01-01,51,CAMISA MANGA LARGA MUJER,PV,1.0
284,2019-01-01,51,CAMISETA MUJER,OI,125.0
285,2019-01-01,51,CAMISETA MUJER,PV,3.0
296,2019-01-01,51,PANTALON MUJER,OI,112.0
297,2019-01-01,51,PANTALON MUJER,PV,4.0
302,2019-01-01,51,PUNTO MANGA LARGA MUJER,OI,157.0
303,2019-01-01,51,PUNTO MANGA LARGA MUJER,PV,3.0
312,2019-01-01,55,CAMISA HOMBRE,OI,123.0
313,2019-01-01,55,CAMISA HOMBRE,PV,3.0
322,2019-01-01,55,PANTALON HOMBRE,OI,89.0
323,2019-01-01,55,PANTALON HOMBRE,PV,1.0
338,2019-01-01,61,BOLSO BANDOLERA MUJER,OI,-1.0
339,2019-01-01,61,BOLSO BANDOLERA MUJER,PV,1.0
344,2019-01-01,61,CAMISA MANGA LARGA MUJER,OI,97.0
345,2019-01-01,61,CAMISA MANGA LARGA MUJER,PV,1.0
346,2019-01-01,61,CAMISETA MUJER,OI,162.0
347,2019-01-01,61,CAMISETA MUJER,PV,3.0
360,2019-01-01,61,PANTALON MUJER,OI,156.0
361,2019-01-01,61,PANTALON MUJER,PV,0.0
367,2019-01-01,61,PUNTO MANGA LARGA MUJER,OI,187.0
368,2019-01-01,61,PUNTO MANGA LARGA MUJER,PV,5.0
379,2019-01-01,65,CAMISA HOMBRE,OI,102.0
380,2019-01-01,65,CAMISA HOMBRE,PV,10.0
389,2019-01-01,65,PANTALON HOMBRE,OI,67.0
407,2019-01-01,66,BOLSO BANDOLERA MUJER,OI,23.0
408,2019-01-01,66,BOLSO BANDOLERA MUJER,PV,5.0
431,2019-01-01,71,BOLSO BANDOLERA MUJER,OI,0.0
438,2019-01-01,71,CAMISA MANGA LARGA MUJER,OI,33.0
439,2019-01-01,71,CAMISETA MUJER,OI,63.0
440,2019-01-01,71,CAMISETA MUJER,PV,4.0
451,2019-01-01,71,PANTALON MUJER,OI,84.0
452,2019-01-01,71,PANTALON MUJER,PV,1.0
457,2019-01-01,71,PUNTO MANGA LARGA MUJER,OI,88.0
458,2019-01-01,71,PUNTO MANGA LARGA MUJER,PV,1.0
468,2019-01-01,81,BOLSO BANDOLERA MUJER,OI,5.0
469,2019-01-01,81,BOLSO BANDOLERA MUJER,PV,1.0
474,2019-01-01,81,CAMISA MANGA LARGA MUJER,OI,88.0
475,2019-01-01,81,CAMISA MANGA LARGA MUJER,PV,3.0
476,2019-01-01,81,CAMISETA MUJER,OI,122.0
489,2019-01-01,81,PANTALON MUJER,OI,120.0
490,2019-01-01,81,PANTALON MUJER,PV,2.0
496,2019-01-01,81,PUNTO MANGA LARGA MUJER,OI,198.0
497,2019-01-01,81,PUNTO MANGA LARGA MUJER,PV,3.0
508,2019-01-01,85,CAMISA HOMBRE,OI,123.0
509,2019-01-01,85,CAMISA HOMBRE,PV,3.0
517,2019-01-01,85,PANTALON HOMBRE,OI,120.0
530,2019-01-01,91,BOLSO BANDOLERA MUJER,OI,4.0
537,2019-01-01,91,CAMISA MANGA LARGA MUJER,OI,32.0
538,2019-01-01,91,CAMISA MANGA LARGA MUJER,PV,0.0
539,2019-01-01,91,CAMISETA MUJER,OI,97.0
550,2019-01-01,91,PANTALON MUJER,OI,106.0
555,2019-01-01,91,PUNTO MANGA LARGA MUJER,OI,106.0
565,2019-01-01,95,CAMISA HOMBRE,OI,121.0
574,2019-01-01,95,PANTALON HOMBRE,OI,104.0
588,2019-01-01,101,BOLSO BANDOLERA MUJER,OI,2.0
595,2019-01-01,101,CAMISA MANGA LARGA MUJER,OI,39.0
596,2019-01-01,101,CAMISETA MUJER,OI,71.0
597,2019-01-01,101,CAMISETA MUJER,PV,1.0
608,2019-01-01,101,PANTALON MUJER,OI,72.0
609,2019-01-01,101,PANTALON MUJER,PV,3.0
615,2019-01-01,101,PUNTO MANGA LARGA MUJER,OI,54.0
625,2019-01-01,105,CAMISA HOMBRE,OI,65.0
632,2019-01-01,105,PANTALON HOMBRE,OI,49.0
642,2019-01-01,111,BOLSO BANDOLERA MUJER,OI,5.0
647,2019-01-01,111,CAMISA MANGA LARGA MUJER,OI,39.0
648,2019-01-01,111,CAMISA MANGA LARGA MUJER,PV,1.0
649,2019-01-01,111,CAMISETA MUJER,OI,93.0
659,2019-01-01,111,PANTALON MUJER,OI,50.0
660,2019-01-01,111,PANTALON MUJER,PV,1.0
665,2019-01-01,111,PUNTO MANGA LARGA MUJER,OI,128.0
674,2019-01-01,115,CAMISA HOMBRE,OI,110.0
683,2019-01-01,115,PANTALON HOMBRE,OI,70.0
698,2019-01-01,121,BOLSO BANDOLERA MUJER,OI,4.0
702,2019-01-01,121,CAMISA MANGA LARGA MUJER,OI,21.0
703,2019-01-01,121,CAMISETA MUJER,OI,32.0
704,2019-01-01,121,CAMISETA MUJER,PV,1.0
713,2019-01-01,121,PANTALON MUJER,OI,28.0
719,2019-01-01,121,PUNTO MANGA LARGA MUJER,OI,49.0
720,2019-01-01,121,PUNTO MANGA LARGA MUJER,PV,1.0
731,2019-01-01,131,BOLSO BANDOLERA MUJER,OI,1.0
736,2019-01-01,131,CAMISA MANGA LARGA MUJER,OI,33.0
737,2019-01-01,131,CAMISETA MUJER,OI,72.0
738,2019-01-01,131,CAMISETA MUJER,PV,2.0
750,2019-01-01,131,PANTALON MUJER,OI,44.0
754,2019-01-01,131,PUNTO MANGA LARGA MUJER,OI,115.0
755,2019-01-01,131,PUNTO MANGA LARGA MUJER,PV,3.0
764,2019-01-01,135,CAMISA HOMBRE,OI,86.0
765,2019-01-01,135,CAMISA HOMBRE,PV,3.0
775,2019-01-01,135,PANTALON HOMBRE,OI,80.0
788,2019-01-01,141,BOLSO BANDOLERA MUJER,OI,1.0
795,2019-01-01,141,CAMISA MANGA LARGA MUJER,OI,34.0
796,2019-01-01,141,CAMISETA MUJER,OI,57.0
806,2019-01-01,141,PANTALON MUJER,OI,93.0
807,2019-01-01,141,PANTALON MUJER,PV,1.0
812,2019-01-01,141,PUNTO MANGA LARGA MUJER,OI,83.0
813,2019-01-01,141,PUNTO MANGA LARGA MUJER,PV,1.0
821,2019-01-01,145,CAMISA HOMBRE,OI,75.0
829,2019-01-01,145,PANTALON HOMBRE,OI,83.0
840,2019-01-01,151,BOLSO BANDOLERA MUJER,OI,0.0
848,2019-01-01,151,CAMISA MANGA LARGA MUJER,OI,20.0
849,2019-01-01,151,CAMISA MANGA LARGA MUJER,PV,1.0
850,2019-01-01,151,CAMISETA MUJER,OI,39.0
860,2019-01-01,151,PANTALON MUJER,OI,17.0
865,2019-01-01,151,PUNTO MANGA LARGA MUJER,OI,66.0
875,2019-01-01,155,CAMISA HOMBRE,OI,50.0
882,2019-01-01,155,PANTALON HOMBRE,OI,46.0
883,2019-01-01,155,PANTALON HOMBRE,PV,1.0
897,2019-01-01,171,BOLSO BANDOLERA MUJER,OI,1.0
901,2019-01-01,171,CAMISA MANGA LARGA MUJER,OI,42.0
902,2019-01-01,171,CAMISA MANGA LARGA MUJER,PV,2.0
903,2019-01-01,171,CAMISETA MUJER,OI,43.0
915,2019-01-01,171,PANTALON MUJER,OI,58.0
920,2019-01-01,171,PUNTO MANGA LARGA MUJER,OI,80.0
921,2019-01-01,171,PUNTO MANGA LARGA MUJER,PV,1.0
932,2019-01-01,181,BOLSO BANDOLERA MUJER,OI,3.0
933,2019-01-01,181,BOLSO BANDOLERA MUJER,PV,1.0
940,2019-01-01,181,CAMISA MANGA LARGA MUJER,OI,26.0
941,2019-01-01,181,CAMISETA MUJER,OI,40.0
952,2019-01-01,181,PANTALON MUJER,OI,39.0
957,2019-01-01,181,PUNTO MANGA LARGA MUJER,OI,73.0
964,2019-01-01,185,CAMISA HOMBRE,OI,90.0
965,2019-01-01,185,CAMISA HOMBRE,PV,7.0
974,2019-01-01,185,PANTALON HOMBRE,OI,59.0
985,2019-01-01,191,BOLSO BANDOLERA MUJER,OI,3.0
992,2019-01-01,191,CAMISA MANGA LARGA MUJER,OI,42.0
993,2019-01-01,191,CAMISETA MUJER,OI,58.0
994,2019-01-01,191,CAMISETA MUJER,PV,0.0
1002,2019-01-01,191,PANTALON MUJER,OI,59.0
1007,2019-01-01,191,PUNTO MANGA LARGA MUJER,OI,75.0
1013,2019-01-01,195,CAMISA HOMBRE,OI,-1.0
1025,2019-01-01,201,BOLSO BANDOLERA MUJER,PV,1.0
1032,2019-01-01,201,CAMISA MANGA LARGA MUJER,OI,41.0
1033,2019-01-01,201,CAMISETA MUJER,OI,76.0
1034,2019-01-01,201,CAMISETA MUJER,PV,1.0
1045,2019-01-01,201,PANTALON MUJER,OI,64.0
1050,2019-01-01,201,PUNTO MANGA LARGA MUJER,OI,91.0
1051,2019-01-01,201,PUNTO MANGA LARGA MUJER,PV,2.0
1060,2019-01-01,205,CAMISA HOMBRE,OI,94.0
1061,2019-01-01,205,CAMISA HOMBRE,PV,2.0
1068,2019-01-01,205,PANTALON HOMBRE,OI,85.0
1079,2019-01-01,211,CAMISA MANGA LARGA MUJER,OI,-1.0
1081,2019-01-01,211,PANTALON MUJER,OI,-1.0
1082,2019-01-01,211,PUNTO MANGA LARGA MUJER,OI,-1.0
1084,2019-01-01,215,CAMISA HOMBRE,OI,37.0
1090,2019-01-01,215,PANTALON HOMBRE,OI,13.0
1100,2019-01-01,221,BOLSO BANDOLERA MUJER,OI,5.0
1106,2019-01-01,221,CAMISA MANGA LARGA MUJER,OI,22.0
1107,2019-01-01,221,CAMISETA MUJER,OI,29.0
1108,2019-01-01,221,CAMISETA MUJER,PV,2.0
1117,2019-01-01,221,PANTALON MUJER,OI,26.0
1122,2019-01-01,221,PUNTO MANGA LARGA MUJER,OI,56.0
1128,2019-01-01,225,CAMISA HOMBRE,OI,12.0
1134,2019-01-01,225,PANTALON HOMBRE,OI,22.0
1142,2019-01-01,231,BOLSO BANDOLERA MUJER,OI,3.0
1143,2019-01-01,231,BOLSO BANDOLERA MUJER,PV,1.0
1150,2019-01-01,231,CAMISA MANGA LARGA MUJER,OI,23.0
1151,2019-01-01,231,CAMISETA MUJER,OI,29.0
1160,2019-01-01,231,PANTALON MUJER,OI,32.0
1165,2019-01-01,231,PUNTO MANGA LARGA MUJER,OI,75.0
1172,2019-01-01,235,CAMISA HOMBRE,OI,66.0
1173,2019-01-01,235,CAMISA HOMBRE,PV,0.0
1182,2019-01-01,235,PANTALON HOMBRE,OI,62.0
1194,2019-01-01,261,CAMISA MANGA LARGA MUJER,OI,-1.0
1195,2019-01-01,261,CAMISETA MUJER,OI,-1.0
1198,2019-01-01,261,PANTALON MUJER,OI,-2.0
1200,2019-01-01,261,PUNTO MANGA LARGA MUJER,OI,-5.0
1201,2019-01-01,261,PUNTO MANGA LARGA MUJER,PV,-1.0
1208,2019-01-01,291,BOLSO BANDOLERA MUJER,OI,1.0
1214,2019-01-01,291,CAMISA MANGA LARGA MUJER,OI,28.0
1215,2019-01-01,291,CAMISETA MUJER,OI,42.0
1223,2019-01-01,291,PANTALON MUJER,OI,36.0
1228,2019-01-01,291,PUNTO MANGA LARGA MUJER,OI,79.0
1229,2019-01-01,291,PUNTO MANGA LARGA MUJER,PV,1.0
1236,2019-01-01,295,CAMISA HOMBRE,OI,34.0
1241,2019-01-01,295,PANTALON HOMBRE,OI,41.0
1251,2019-01-01,331,BOLSO BANDOLERA MUJER,OI,3.0
1256,2019-01-01,331,CAMISA MANGA LARGA MUJER,OI,9.0
1257,2019-01-01,331,CAMISETA MUJER,OI,20.0
1258,2019-01-01,331,CAMISETA MUJER,PV,1.0
1267,2019-01-01,331,PANTALON MUJER,OI,18.0
1272,2019-01-01,331,PUNTO MANGA LARGA MUJER,OI,36.0
1278,2019-01-01,335,CAMISA HOMBRE,OI,25.0
1284,2019-01-01,335,PANTALON HOMBRE,OI,21.0
1293,2019-01-01,361,BOLSO BANDOLERA MUJER,OI,3.0
1299,2019-01-01,361,CAMISA MANGA LARGA MUJER,OI,32.0
1300,2019-01-01,361,CAMISA MANGA LARGA MUJER,PV,1.0
1301,2019-01-01,361,CAMISETA MUJER,OI,93.0
1302,2019-01-01,361,CAMISETA MUJER,PV,1.0
1314,2019-01-01,361,PANTALON MUJER,OI,51.0
1319,2019-01-01,361,PUNTO MANGA LARGA MUJER,OI,80.0
1320,2019-01-01,361,PUNTO MANGA LARGA MUJER,PV,2.0
1327,2019-01-01,365,CAMISA HOMBRE,OI,-10.0
1331,2019-01-01,365,PANTALON HOMBRE,OI,-3.0
1339,2019-01-01,371,BOLSO BANDOLERA MUJER,OI,1.0
1346,2019-01-01,371,CAMISA MANGA LARGA MUJER,OI,45.0
1347,2019-01-01,371,CAMISETA MUJER,OI,50.0
1348,2019-01-01,371,CAMISETA MUJER,PV,2.0
1359,2019-01-01,371,PANTALON MUJER,OI,69.0
1360,2019-01-01,371,PANTALON MUJER,PV,4.0
1365,2019-01-01,371,PUNTO MANGA LARGA MUJER,OI,92.0
1366,2019-01-01,371,PUNTO MANGA LARGA MUJER,PV,1.0
1376,2019-01-01,375,CAMISA HOMBRE,OI,104.0
1377,2019-01-01,375,CAMISA HOMBRE,PV,2.0
1386,2019-01-01,375,PANTALON HOMBRE,OI,62.0
1387,2019-01-01,375,PANTALON HOMBRE,PV,1.0
1400,2019-01-01,376,BOLSO BANDOLERA MUJER,OI,17.0
1401,2019-01-01,376,BOLSO BANDOLERA MUJER,PV,3.0
1424,2019-01-01,971,BOLSO BANDOLERA MUJER,OI,-1.0
1431,2019-01-01,971,CAMISA MANGA LARGA MUJER,OI,20.0
1432,2019-01-01,971,CAMISA MANGA LARGA MUJER,PV,0.0
1433,2019-01-01,971,CAMISETA MUJER,OI,25.0
1441,2019-01-01,971,PANTALON MUJER,OI,45.0
1445,2019-01-01,971,PUNTO MANGA LARGA MUJER,OI,64.0
1446,2019-01-01,971,PUNTO MANGA LARGA MUJER,PV,4.0
1453,2019-01-01,975,CAMISA HOMBRE,OI,28.0
1460,2019-01-01,975,PANTALON HOMBRE,OI,14.0
1461,2019-01-01,975,PANTALON HOMBRE,PV,2.0
1477,2019-01-01,981,BOLSO BANDOLERA MUJER,OI,3.0
1483,2019-01-01,981,CAMISA MANGA LARGA MUJER,OI,29.0
1484,2019-01-01,981,CAMISETA MUJER,OI,45.0
1485,2019-01-01,981,CAMISETA MUJER,PV,2.0
1496,2019-01-01,981,PANTALON MUJER,OI,28.0
1497,2019-01-01,981,PANTALON MUJER,PV,1.0
1503,2019-01-01,981,PUNTO MANGA LARGA MUJER,OI,70.0
1504,2019-01-01,981,PUNTO MANGA LARGA MUJER,PV,4.0
1520,2019-01-01,1389,CAMISA HOMBRE,OI,14.0
1521,2019-01-01,1389,CAMISA HOMBRE,PV,4.0
1522,2019-01-01,1389,CAMISA MANGA LARGA MUJER,OI,7.0
1523,2019-01-01,1389,CAMISA MANGA LARGA MUJER,PV,1.0
1524,2019-01-01,1389,CAMISETA MUJER,OI,10.0
1525,2019-01-01,1389,CAMISETA MUJER,PV,9.0
1534,2019-01-01,1389,PANTALON HOMBRE,OI,4.0
1535,2019-01-01,1389,PANTALON MUJER,OI,9.0
1536,2019-01-01,1389,PANTALON MUJER,PV,7.0
1543,2019-01-01,1389,PUNTO MANGA LARGA MUJER,OI,4.0
1544,2019-01-01,1389,PUNTO MANGA LARGA MUJER,PV,6.0
1557,2019-01-01,2511,BOLSO BANDOLERA MUJER,OI,1.0
1563,2019-01-01,2511,CAMISA MANGA LARGA MUJER,OI,32.0
1564,2019-01-01,2511,CAMISETA MUJER,OI,65.0
1565,2019-01-01,2511,CAMISETA MUJER,PV,1.0
1576,2019-01-01,2511,PANTALON MUJER,OI,65.0
1577,2019-01-01,2511,PANTALON MUJER,PV,2.0
1583,2019-01-01,2511,PUNTO MANGA LARGA MUJER,OI,94.0
1584,2019-01-01,2511,PUNTO MANGA LARGA MUJER,PV,2.0
1595,2019-01-01,3179,PANTALON MUJER,OI,1.0
1597,2019-01-01,3179,PUNTO MANGA LARGA MUJER,OI,0.0
1600,2019-01-01,3209,CAMISA HOMBRE,OI,9.0
1601,2019-01-01,3209,CAMISA MANGA LARGA MUJER,OI,3.0
1602,2019-01-01,3209,CAMISETA MUJER,OI,10.0
1604,2019-01-01,3209,PANTALON HOMBRE,OI,2.0
1605,2019-01-01,3209,PANTALON MUJER,PV,1.0
1609,2019-01-01,3209,PUNTO MANGA LARGA MUJER,OI,5.0
1613,2019-01-01,3229,CAMISA HOMBRE,OI,2.0
1614,2019-01-01,3229,CAMISA HOMBRE,PV,2.0
1615,2019-01-01,3229,CAMISA MANGA LARGA MUJER,OI,-1.0
1616,2019-01-01,3229,CAMISA MANGA LARGA MUJER,PV,0.0
1617,2019-01-01,3229,CAMISETA MUJER,PV,1.0
1622,2019-01-01,3229,PANTALON MUJER,OI,7.0
1623,2019-01-01,3229,PANTALON MUJER,PV,10.0
1638,2019-01-01,3239,CAMISA HOMBRE,OI,14.0
1639,2019-01-01,3239,CAMISA HOMBRE,PV,5.0
1640,2019-01-01,3239,CAMISA MANGA LARGA MUJER,OI,7.0
1641,2019-01-01,3239,CAMISA MANGA LARGA MUJER,PV,1.0
1642,2019-01-01,3239,CAMISETA MUJER,OI,6.0
1643,2019-01-01,3239,CAMISETA MUJER,PV,2.0
1657,2019-01-01,3239,PANTALON HOMBRE,OI,7.0
1658,2019-01-01,3239,PANTALON HOMBRE,PV,2.0
1659,2019-01-01,3239,PANTALON MUJER,OI,24.0
1660,2019-01-01,3239,PANTALON MUJER,PV,16.0
1669,2019-01-01,3239,PUNTO MANGA LARGA MUJER,OI,5.0
1670,2019-01-01,3239,PUNTO MANGA LARGA MUJER,PV,6.0
1683,2019-01-01,3249,CAMISA MANGA LARGA MUJER,OI,1.0
1684,2019-01-01,3249,CAMISA MANGA LARGA MUJER,PV,1.0
1685,2019-01-01,3249,PANTALON MUJER,OI,2.0
1686,2019-01-01,3249,PANTALON MUJER,PV,4.0
1688,2019-01-01,3249,PUNTO MANGA LARGA MUJER,PV,1.0
1695,2019-01-01,3259,BOLSO BANDOLERA MUJER,OI,2.0
1697,2019-01-01,3259,CAMISA HOMBRE,OI,18.0
1698,2019-01-01,3259,CAMISA MANGA LARGA MUJER,OI,9.0
1699,2019-01-01,3259,CAMISETA MUJER,OI,7.0
1700,2019-01-01,3259,CAMISETA MUJER,PV,0.0
1709,2019-01-01,3259,PANTALON HOMBRE,OI,7.0
1710,2019-01-01,3259,PANTALON MUJER,OI,14.0
1711,2019-01-01,3259,PANTALON MUJER,PV,4.0
1718,2019-01-01,3259,PUNTO MANGA LARGA MUJER,OI,7.0
1733,2019-01-01,3279,CAMISA HOMBRE,OI,1.0
1734,2019-01-01,3279,CAMISA HOMBRE,PV,4.0
1735,2019-01-01,3279,CAMISA MANGA LARGA MUJER,OI,5.0
1743,2019-01-01,3279,PANTALON HOMBRE,OI,2.0
1744,2019-01-01,3279,PANTALON MUJER,OI,7.0
1745,2019-01-01,3279,PANTALON MUJER,PV,0.0
1750,2019-01-01,3279,PUNTO MANGA LARGA MUJER,OI,1.0
1751,2019-01-01,3279,PUNTO MANGA LARGA MUJER,PV,0.0
1757,2019-01-01,3289,CAMISA MANGA LARGA MUJER,OI,1.0
1758,2019-01-01,3289,CAMISETA MUJER,OI,3.0
1760,2019-01-01,3289,PANTALON MUJER,OI,5.0
1765,2019-01-01,3309,BOLSO BANDOLERA MUJER,OI,1.0
1768,2019-01-01,3309,CAMISA HOMBRE,OI,13.0
1769,2019-01-01,3309,CAMISA HOMBRE,PV,3.0
1770,2019-01-01,3309,CAMISA MANGA LARGA MUJER,OI,15.0
1771,2019-01-01,3309,CAMISETA MUJER,OI,5.0
1772,2019-01-01,3309,CAMISETA MUJER,PV,3.0
1785,2019-01-01,3309,PANTALON HOMBRE,OI,9.0
1786,2019-01-01,3309,PANTALON HOMBRE,PV,1.0
1787,2019-01-01,3309,PANTALON MUJER,OI,6.0
1788,2019-01-01,3309,PANTALON MUJER,PV,4.0
1797,2019-01-01,3309,PUNTO MANGA LARGA MUJER,OI,6.0
1798,2019-01-01,3309,PUNTO MANGA LARGA MUJER,PV,4.0
1814,2019-01-01,3319,CAMISA HOMBRE,OI,8.0
1815,2019-01-01,3319,CAMISA HOMBRE,PV,1.0
1816,2019-01-01,3319,CAMISA MANGA LARGA MUJER,OI,17.0
1817,2019-01-01,3319,CAMISETA MUJER,OI,4.0
1827,2019-01-01,3319,PANTALON HOMBRE,OI,12.0
1828,2019-01-01,3319,PANTALON MUJER,OI,13.0
1835,2019-01-01,3319,PUNTO MANGA LARGA MUJER,OI,8.0
1847,2019-01-01,3329,BOLSO BANDOLERA MUJER,OI,2.0
1849,2019-01-01,3329,CAMISA HOMBRE,OI,12.0
1850,2019-01-01,3329,CAMISA MANGA LARGA MUJER,OI,13.0
1851,2019-01-01,3329,CAMISA MANGA LARGA MUJER,PV,0.0
1852,2019-01-01,3329,CAMISETA MUJER,OI,11.0
1853,2019-01-01,3329,CAMISETA MUJER,PV,8.0
1864,2019-01-01,3329,PANTALON HOMBRE,OI,8.0
1865,2019-01-01,3329,PANTALON HOMBRE,PV,1.0
1866,2019-01-01,3329,PANTALON MUJER,OI,10.0
1867,2019-01-01,3329,PANTALON MUJER,PV,5.0
1874,2019-01-01,3329,PUNTO MANGA LARGA MUJER,OI,12.0
1875,2019-01-01,3329,PUNTO MANGA LARGA MUJER,PV,6.0
1888,2019-01-01,3349,CAMISA HOMBRE,PV,17.0
1889,2019-01-01,3349,CAMISA MANGA LARGA MUJER,OI,13.0
1890,2019-01-01,3349,CAMISA MANGA LARGA MUJER,PV,5.0
1891,2019-01-01,3349,CAMISETA MUJER,OI,7.0
1892,2019-01-01,3349,CAMISETA MUJER,PV,1.0
1908,2019-01-01,3349,PANTALON HOMBRE,OI,2.0
1909,2019-01-01,3349,PANTALON HOMBRE,PV,5.0
1910,2019-01-01,3349,PANTALON MUJER,OI,25.0
1911,2019-01-01,3349,PANTALON MUJER,PV,15.0
1917,2019-01-01,3349,PUNTO MANGA LARGA MUJER,OI,2.0
1918,2019-01-01,3349,PUNTO MANGA LARGA MUJER,PV,2.0
1931,2019-01-01,3359,CAMISA HOMBRE,OI,2.0
1932,2019-01-01,3359,CAMISA MANGA LARGA MUJER,OI,1.0
1934,2019-01-01,3359,PANTALON HOMBRE,OI,1.0
1935,2019-01-01,3359,PANTALON MUJER,OI,1.0
1936,2019-01-01,3359,PANTALON MUJER,PV,1.0
1941,2019-01-01,3359,PUNTO MANGA LARGA MUJER,PV,2.0
1950,2019-01-01,3409,CAMISA HOMBRE,OI,10.0
1951,2019-01-01,3409,CAMISA HOMBRE,PV,2.0
1952,2019-01-01,3409,CAMISA MANGA LARGA MUJER,OI,5.0
1953,2019-01-01,3409,CAMISA MANGA LARGA MUJER,PV,1.0
1960,2019-01-01,3409,PANTALON HOMBRE,OI,4.0
1961,2019-01-01,3409,PANTALON MUJER,OI,10.0
1962,2019-01-01,3409,PANTALON MUJER,PV,4.0
1966,2019-01-01,3409,PUNTO MANGA LARGA MUJER,OI,1.0
1967,2019-01-01,3409,PUNTO MANGA LARGA MUJER,PV,0.0
1974,2019-01-01,3429,BOLSO BANDOLERA MUJER,PV,1.0
1975,2019-01-01,3429,CAMISA HOMBRE,OI,4.0
1976,2019-01-01,3429,CAMISA HOMBRE,PV,3.0
1977,2019-01-01,3429,CAMISA MANGA LARGA MUJER,OI,8.0
1987,2019-01-01,3429,PANTALON HOMBRE,OI,4.0
1988,2019-01-01,3429,PANTALON HOMBRE,PV,3.0
1989,2019-01-01,3429,PANTALON MUJER,OI,6.0
1990,2019-01-01,3429,PANTALON MUJER,PV,3.0
2005,2019-01-01,3449,CAMISA HOMBRE,OI,2.0
2006,2019-01-01,3449,CAMISA HOMBRE,PV,2.0
2007,2019-01-01,3449,CAMISA MANGA LARGA MUJER,OI,1.0
2008,2019-01-01,3449,CAMISETA MUJER,OI,0.0
2014,2019-01-01,3449,PANTALON HOMBRE,OI,2.0
2015,2019-01-01,3449,PANTALON MUJER,OI,3.0
2026,2019-01-01,3469,BOLSO BANDOLERA MUJER,OI,1.0
2029,2019-01-01,3469,CAMISA HOMBRE,OI,14.0
2030,2019-01-01,3469,CAMISA MANGA LARGA MUJER,OI,6.0
2031,2019-01-01,3469,CAMISA MANGA LARGA MUJER,PV,1.0
2032,2019-01-01,3469,CAMISETA MUJER,OI,3.0
2039,2019-01-01,3469,PANTALON HOMBRE,OI,6.0
2040,2019-01-01,3469,PANTALON MUJER,OI,15.0
